"","BLOCK","DAY","MONTH","YEAR","ROW","PLANT","FLOWER","Height","Width","Weight","Druplets","Crumbliness","Tag","TREATMENT","POLLINATORS","VISIT1","VISIT2","VISIT3","VISIT4","VISIT5","VISIT6","VISIT7","VISIT8","VISIT9","VISIT10","VISIT11","VISIT12","VISIT13","VISIT14","VISIT15","VISIT16","VISIT17","VISIT18","VISIT19","VISIT20","VISIT21","VISIT22","VISIT23","VISIT24","VISIT25","VISIT26","VISIT27","VISIT28","VISIT29","Total.visits","TOTAL.TIME","stingless_bee","honey_bee","sumvisits","p_stingless_bee","p_honey_bee","duration","V1D","cent_d","cent_v1","cent_sd"
"66","KD6C_",19,1,2018,"1_","3_",812,23.23,20.74,4.72,124,3,"KD6C_1_3_812","V","Mixed","H","H","H","H","H","H","H","S","H","H","S","S","H","","","","","","","","","","","","","","","","",13,124,3,10,13,0.230769230769231,0.769230769230769,124,30,0.410448209665236,0.395134619393877,0.274325741228557
"67","KD6C_",19,1,2018,"1_","5_",813,24.47,21.44,4.31,97,2,"KD6C_1_5_813","V","HB","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","","","",4,88,0,4,4,0,1,88,21,-0.141357682166866,0.0248183727883758,-0.156938663420034
"68","KD6C_",19,1,2018,"1_","5_",814,24.79,20.38,4.6,117,2,"KD6C_1_5_814","V","HB","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","",8,101,0,8,8,0,1,101,24,0.0579055565502822,0.148257121656876,0.00278889385722198
"69","KD8_",19,1,2018,"5_","1_",815,19.01,17.53,2.67,48,1,"KD8_5_1_815","V","HB","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","","",6,126,0,6,6,0,1,126,27,0.441104092544798,0.271695870525376,0.354189519867185
"70","KD8_",19,1,2018,"5_","1_",816,18.32,17.89,3.37,75,2,"KD8_5_1_816","V","Mixed","S","S","S","H","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","",12,136,3,9,12,0.25,0.75,136,13,0.594383506942604,-0.304351624194292,0.737535657332599
"71","KD6C_",19,1,2018,"3_","6_",819,20.16,18.96,3.15,110,3,"KD6C_3_6_819","V","Mixed","H","H","H","H","S","","","","","","","","","","","","","","","","","","","","","","","","",5,60,1,4,5,0.2,0.8,60,11,-0.570540042480723,-0.386644123439958,-0.444448266519095
"72","KD6C_",19,1,2018,"3_","6_",822,16.6,14.44,1.57,75,1,"KD6C_3_6_822","V","Mixed","H","H","H","H","H","H","S","S","S","H","","","","","","","","","","","","","","","","","","","",10,121,3,7,10,0.3,0.7,121,3,0.364464385345894,-0.715814120422626,0.657671878693971
"73","KD6D_",19,1,2018,"30_","12_",823,11.29,17.09,1.04,20,1,"KD6D_30_12_823","V","HB","H","H","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,96,0,2,2,0,1,96,57,-0.0187341506486208,1.50608335921038,-0.60417582379635
"74","KD6D_",19,1,2018,"30_","12_",824,18.55,17.62,2.82,70,2,"KD6D_30_12_824","V","HB","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","","","",7,100,0,7,7,0,1,100,43,0.0425776151105016,0.930035864490711,-0.31666622069729
"75","KD6D_",19,1,2018,"30_","12_",825,19.52,17.98,3.37,97,3,"KD6D_30_12_825","V","HB","H","H","H","H","H","H","H","H","H","","","","","","","","","","","","","","","","","","","","",9,224,0,9,9,0,1,224,58,1.9432423536433,1.54722960883321,1.4243641536248
