"","BLOCK","DAY","MONTH","YEAR","ROW","PLANT","FLOWER","Height","Width","Weight","Druplets","Crumbliness","Tag","TREATMENT","POLLINATORS","Total.visits","TOTAL.TIME","variable","value","poll.sp","v.d","ord.v","log.vd","sqrt.vd"
"150","KD8_",23,1,2018,"5_","17_",881,18.89,18.39,2.64,62,2,"KD8_5_17_881","V","HB",4,124,"VISIT1","HN80","H",80,1,4.38202663467388,8.94427190999916
"151","KD8_",23,1,2018,"5_","17_",882,21.45,20.65,3.96,92,2,"KD8_5_17_882","V","HB",5,66,"VISIT1","HP2","H",2,1,0.693147180559945,1.4142135623731
"152","KD8_",23,1,2018,"5_","17_",883,19.69,18.7,3.28,94,3,"KD8_5_17_883","V","HB",9,68,"VISIT1","HP4","H",4,1,1.38629436111989,2
"153","KD8_",23,1,2018,"1_","5_",887,20.17,19.51,3.79,83,2,"KD8_1_5_887","V","Mixed",9,152,"VISIT1","HP34","H",34,1,3.52636052461616,5.8309518948453
"154","KD8_",23,1,2018,"1_","5_",888,19.75,18.67,3,42,1,"KD8_1_5_888","V","HB",3,54,"VISIT1","HP12","H",12,1,2.484906649788,3.46410161513775
"155","KD8_",23,1,2018,"1_","5_",889,18.88,20.51,2.89,41,1,"KD8_1_5_889","V","Mixed",2,72,"VISIT1","SN55","S",55,1,4.00733318523247,7.41619848709566
"156","KD8_",23,1,2018,"1_","5_",890,18.9,19.13,2.6,44,1,"KD8_1_5_890","V","Mixed",12,183,"VISIT1","HN58","H",58,1,4.06044301054642,7.61577310586391
"158","KD8_",23,1,2018,"1_","5_",892,20.58,18.96,3.25,55,1,"KD8_1_5_892","V","Mixed",3,29,"VISIT1","HP13","H",13,1,2.56494935746154,3.60555127546399
"159","KD8_",23,1,2018,"1_","8_",893,18.82,16.29,2.53,105,3,"KD8_1_8_893","V","Mixed",10,76,"VISIT1","SP5","S",5,1,1.6094379124341,2.23606797749979
"160","KD8_",23,1,2018,"1_","8_",894,17.33,14.92,1.85,87,3,"KD8_1_8_894","V","Mixed",13,133,"VISIT1","HP6","H",6,1,1.79175946922805,2.44948974278318
"161","KD8_",23,1,2018,"1_","8_",895,17.95,15.49,1.93,74,3,"KD8_1_8_895","V","Mixed",11,161,"VISIT1","SP19","S",19,1,2.94443897916644,4.35889894354067
"162","KD8_",23,1,2018,"1_","14_",896,10.55,15.43,1.24,32,1,"KD8_1_14_896","V","HB",1,66,"VISIT1","HN66","H",66,1,4.18965474202643,8.12403840463596
"163","KD8_",23,1,2018,"1_","14_",897,14.53,12.32,0.8,53,1,"KD8_1_14_897","V","HB",7,69,"VISIT1","HN47","H",47,1,3.85014760171006,6.85565460040104
"165","KD8_",23,1,2018,"1_","14_",899,17.66,15.59,1.49,65,1,"KD8_1_14_899","V","HB",8,75,"VISIT1","HN60","H",60,1,4.0943445622221,7.74596669241483
"166","KD8_",23,1,2018,"1_","14_",900,12.71,12.39,0.82,42,1,"KD8_1_14_900","V","HB",11,64,"VISIT1","HP5","H",5,1,1.6094379124341,2.23606797749979
"167","KD5D_",23,1,2018,"1_","23_",901,4.94,6.03,0.03,3,1,"KD5D_1_23_901","V","SB",1,16,"VISIT1","SP16","S",16,1,2.77258872223978,4
"169","KD5D_",23,1,2018,"1_","23_",903,14.92,22.05,2.61,40,1,"KD5D_1_23_903","V","Mixed",2,21,"VISIT1","SP9","S",9,1,2.19722457733622,3
"170","KD5D_",23,1,2018,"1_","23_",904,15.91,19.3,2.23,50,1,"KD5D_1_23_904","V","Mixed",3,80,"VISIT1","SP35","S",35,1,3.55534806148941,5.91607978309962
"171","KD5D_",23,1,2018,"1_","23_",905,9.88,20.39,1.48,27,1,"KD5D_1_23_905","V","HB",1,40,"VISIT1","HN40","H",40,1,3.68887945411394,6.32455532033676
"172","KD5D_",23,1,2018,"1_","23_",906,9.69,20.42,0.97,10,1,"KD5D_1_23_906","V","HB",4,168,"VISIT1","HP6","H",6,1,1.79175946922805,2.44948974278318
"173","KD5D_",23,1,2018,"3_","2_",907,20.96,19.15,3.14,75,1,"KD5D_3_2_907","V","SB",14,236,"VISIT1","SP14","S",14,1,2.63905732961526,3.74165738677394
"174","KD5D_",23,1,2018,"3_","2_",908,20.47,17.65,3.07,100,2,"KD5D_3_2_908","V","Mixed",13,153,"VISIT1","HP5","H",5,1,1.6094379124341,2.23606797749979
"175","KD5D_",23,1,2018,"3_","2_",909,21.51,17.88,3.23,103,3,"KD5D_3_2_909","V","Mixed",9,116,"VISIT1","HP10","H",10,1,2.30258509299405,3.16227766016838
"176","KD5D_",23,1,2018,"3_","8_",910,15.36,19.25,2.64,63,2,"KD5D_3_8_910","V","Mixed",6,90,"VISIT1","HP1","H",1,1,0,1
