"","Species","SHOOT","Grow.con","Block","Year","Date","Row","Plant.number","Tag","DONOR","TREATMENT","SPEC.COM","FS","TVN","Pick.date","Size","Fresh.wgt","Ripe.time","POLL","seed.number","Firmness","Dryness","variable","value","poll.sp","poll.type","v.d","ord.v","log.vd","spp"
"42","EG","F","Ground","S1S",2018,"16/5/18",4,19,"R4 P19 16/5/18 (V6)","V","V","HB",0,1,"",NA,NA,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"43","EG","F","Ground","S1S",2018,"11/5/18",6,39,"R6 P39 11/5/18 (V1)","V","V","HB",0,1,"",NA,NA,NA,1,NA,NA,"","Visitor1","H N 14","H","N",14,1,2.63905732961526,"B"
"44","EG","F","Ground","S1S",2018,"11/5/18",6,39,"R6 P39 11/5/18 (V3)","V","V","HB",0,1,"",NA,NA,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"45","EG","F","Ground","SFI",2017,"4/5/17",8,19,"SF-A-6","V","V","HB",1,2,"10/8/17",NA,0.47,98,1,NA,NA,"","Visitor1","H N 22","H","N",22,1,3.09104245335832,"B"
"46","EG","F","Ground","S1S",2017,"11/5/17",4,16,"S1S-J-72","V","V","HB",1,2,"10/8/17",10.4529,0.61,91,1,NA,278.2389284,"","Visitor1","H N 3","H","N",3,1,1.09861228866811,"B"
"47","EG","F","Ground","S1S",2017,"11/5/17",5,4,"S1S-J-76","V","V","HB",1,2,"25/7/17",12.9683,1.047,75,1,NA,242.8264012,"","Visitor1","H P 10","H","P",10,1,2.30258509299405,"B"
"48","EG","F","Ground","S1S",2017,"11/5/17",5,13,"S1S-A-4","V","V","HB",1,2,"20/7/17",13.2577,1.2,70,1,NA,207.1943178,"","Visitor1","H N 67","H","N",67,1,4.20469261939097,"B"
"49","EG","F","Ground","SFI",2017,"8/5/17",6,31,"SF-J-47","V","V","HB",1,2,"20/7/17",13.6531,1.2,73,1,NA,278.5397864,"","Visitor1","H P 15","H","P",15,1,2.70805020110221,"B"
"50","EG","F","Ground","GR12",2017,"4/4/17",14,12,"GR-V-1-3","V","V","HB",1,2,"7/7/17",11.0674,0.601473133,94,1,NA,174.7179024,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"51","EG","F","Ground","GR12",2017,"5/4/17",14,23,"GR-V-11","V","V","HB",1,2,"4/7/17",13.2784,1.103664935,90,1,NA,236.7004699,"","Visitor1","H N 40","H","N",40,1,3.68887945411394,"B"
"52","EG","F","Ground","GR12",2017,"5/4/17",14,23,"GR-V-13","V","V","HB",1,2,"21/6/17",14.8328,1.456720989,77,1,NA,206.9598163,"","Visitor1","H N 1","H","N",1,1,0,"B"
"53","EG","F","Ground","SFI",2017,"8/5/17",8,23,"SF-J-42","V","V","HB",1,2,"20/7/17",NA,NA,73,1,NA,NA,"","Visitor1","H P 50","H","P",50,1,3.91202300542815,"B"
"54","EG","F","Ground","SFI",2017,"8/5/17",8,23,"SF-J-43","V","V","HB",1,2,"20/7/17",NA,NA,73,1,NA,NA,"","Visitor1","H P 35","H","P",35,1,3.55534806148941,"B"
"55","EG","F","Ground","SFI",2017,"8/5/17",8,28,"SF-A-14","V","V","HB",1,2,"20/7/17",NA,NA,73,1,NA,NA,"","Visitor1","H N 35","H","N",35,1,3.55534806148941,"B"
"56","EG","F","Ground","GR12",2017,"5/4/17",14,31,"GR-V-17","V","V","HB",0,2,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 10","H","N",10,1,2.30258509299405,"B"
"57","EG","F","Ground","GR12",2017,"7/4/17",14,31,"GR-V-26","V","V","HB",0,2,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 7","H","N",7,1,1.94591014905531,"B"
"58","EG","F","Ground","GR12",2017,"5/4/17",14,35,"GR-M-7","V","V","HB",0,2,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 6","H","N",6,1,1.79175946922805,"B"
"59","EG","F","Ground","S1S",2017,"11/5/17",5,4,"S1S-J-77","V","V","HB",0,2,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H P 15","H","P",15,1,2.70805020110221,"B"
"60","EG","F","Ground","S1S",2017,"11/5/17",5,5,"S1S-A-8","V","V","HB",0,2,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"61","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-22","V","V","HB",0,2,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"62","EG","F","Ground","SFI",2017,"8/5/17",8,23,"SF-J-44","V","V","HB",0,2,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H P 1","H","P",1,1,0,"B"
"63","EG","F","Ground","GR12",2017,"4/4/17",14,17,"GR-L-4","V","V","HB",1,2,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 20","H","N",20,1,2.99573227355399,"B"
"64","EG","F","Ground","GR12",2017,"8/4/17",14,53,"GR-W-4","V","V","HB",1,2,"14/9/17",NA,0.231,159,1,NA,NA,"","Visitor1","H N 5","H","N",5,1,1.6094379124341,"B"
"65","EG","F","Ground","S1S",2017,"11/5/18",6,39,"R6 P39 11/5/18 (V2)","V","V","HB",1,2,"25/7/18",NA,1.47,NA,1,NA,NA,"","Visitor1","H N 34","H","N",34,1,3.52636052461616,"B"
"66","EG","F","Ground","S1S",2018,"11/5/18",6,39,"R6 P39 11/5/18 (V2)","V","V","HB",1,2,"25/7/18",NA,1.47,NA,1,NA,NA,"","Visitor1","H N 34","H","N",34,1,3.52636052461616,"B"
"67","EG","F","Ground","GR12",2017,"4/4/17",14,12,"GR-V-1-2","V","V","HB",1,3,"10/8/17",NA,0.39,128,1,NA,NA,"","Visitor1","H N 6","H","N",6,1,1.79175946922805,"B"
"68","EG","F","Ground","GR12",2017,"5/4/17",14,35,"GR-M-6","V","V","HB",1,3,"20/7/17",NA,0.43,106,1,NA,NA,"","Visitor1","H N 5","H","N",5,1,1.6094379124341,"B"
"69","EG","F","Ground","GR12",2017,"5/4/17",14,22,"GR-V-10","V","V","HB",1,3,"7/9/17",NA,0.449,155,1,NA,NA,"","Visitor1","H N 34","H","N",34,1,3.52636052461616,"B"
"70","EG","F","Ground","SFI",2017,"8/5/17",5,24,"SF-J-50","V","V","HB",1,3,"4/8/17",NA,0.465,88,1,NA,NA,"","Visitor1","H P 10","H","P",10,1,2.30258509299405,"B"
"71","EG","F","Ground","GR12",2017,"7/4/17",14,3,"GR-M-9","V","V","HB",1,3,"4/8/17",11.1901,0.61,119,1,NA,194.9230242,"","Visitor1","H N 5","H","N",5,1,1.6094379124341,"B"
"72","EG","F","Ground","SFI",2017,"5/5/17",7,30,"SF-A-7","V","V","HB",1,3,"4/8/17",12.5232,0.789,91,1,NA,299.0266297,"","Visitor1","H P 21","H","P",21,1,3.04452243772342,"B"
"73","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-17","V","V","HB",1,3,"7/9/17",NA,0.852,122,1,NA,NA,"","Visitor1","H N 4","H","N",4,1,1.38629436111989,"B"
"74","EG","F","Ground","SFI",2017,"4/5/17",8,19,"SF-A-5","V","V","HB",1,3,"25/7/17",12.1228,0.855,82,1,NA,288.7159108,"","Visitor1","H N 35","H","N",35,1,3.55534806148941,"B"
"75","EG","F","Ground","S1S",2017,"11/5/17",5,4,"S1S-J-75","V","V","HB",1,3,"3/8/17",12.3579,0.86,84,1,NA,243.7755197,"","Visitor1","H N 30","H","N",30,1,3.40119738166216,"B"
"76","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-18","V","V","HB",1,3,"10/8/17",12.7447,0.99,94,1,NA,269.587591,"","Visitor1","H N 16","H","N",16,1,2.77258872223978,"B"
"77","EG","F","Ground","S1S",2017,"12/5/17",4,20,"S1S-J-84","V","V","HB",1,3,"3/8/17",13.6768,1.2,83,1,NA,246.1228924,"","Visitor1","H N 10","H","N",10,1,2.30258509299405,"B"
"78","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-J-54","V","V","HB",1,3,"4/8/17",14.7198,1.356,88,1,NA,278.7234117,"","Visitor1","H N 25","H","N",25,1,3.2188758248682,"B"
"79","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-19","V","V","HB",1,3,"4/8/17",15.1193,1.542,88,1,NA,289.90026,"","Visitor1","H P 61","H","P",61,1,4.11087386417331,"B"
"80","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-20","V","V","HB",1,3,"4/8/17",16.0041,1.675,88,1,NA,258.1973923,"","Visitor1","H P 4","H","P",4,1,1.38629436111989,"B"
"81","EG","F","Ground","SFI",2017,"8/5/17",6,20,"SF-A-28","V","V","HB",1,3,"4/8/17",16.4967,1.767,88,1,NA,218.2060279,"","Visitor1","H N 6","H","N",6,1,1.79175946922805,"B"
"82","EG","F","Ground","GR12",2017,"4/4/17",14,17,"GR-L-3","V","V","HB",1,3,"4/7/17",11.7563,0.757945287,91,1,NA,234.6037517,"","Visitor1","H N 25","H","N",25,1,3.2188758248682,"B"
"83","EG","F","Ground","GR12",2017,"6/4/17",14,47,"GR-V-18","V","V","HB",1,3,"4/7/17",14.0854,1.286961535,89,1,NA,243.4180409,"","Visitor1","H N 15","H","N",15,1,2.70805020110221,"B"
"84","EG","F","Ground","GR12",2017,"7/4/17",14,24,"GR-V-21","V","V","HB",0,3,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 15","H","N",15,1,2.70805020110221,"B"
"85","EG","F","Ground","GR12",2017,"7/4/17",14,31,"GR-V-25","V","V","HB",0,3,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 15","H","N",15,1,2.70805020110221,"B"
"86","EG","F","Ground","GR12",2017,"5/4/17",14,35,"GR-M-4","V","V","HB",0,3,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 4","H","N",4,1,1.38629436111989,"B"
"87","EG","F","Ground","SFI",2017,"8/5/17",5,24,"SF-J-51","V","V","HB",0,3,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H P 10","H","P",10,1,2.30258509299405,"B"
"88","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-23","V","V","HB",0,3,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 15","H","N",15,1,2.70805020110221,"B"
"89","EG","F","Ground","GR12",2017,"7/4/17",14,33,"GR-L-8","V","V","HB",1,3,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 13","H","N",13,1,2.56494935746154,"B"
"90","EG","F","Ground","SFI",2017,"4/5/17",8,16,"SF-J-20","V","V","HB",1,3,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 15","H","N",15,1,2.70805020110221,"B"
"91","EG","F","Ground","S1S",2017,"11/5/18",6,27,"R6 P27 11/5/18 (V1)","V","V","HB",1,3,"6/8/18",NA,1.58,NA,1,NA,NA,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"92","EG","F","Ground","S1S",2017,"10/5/18",4,29,"R4 P29 10/5/18 (V4)","V","V","HB",1,3,"31/8/18",NA,0.41,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"93","EG","F","Ground","S1S",2018,"11/5/18",6,27,"R6 P27 11/5/18 (V1)","V","V","HB",1,3,"6/8/18",NA,1.58,NA,1,NA,NA,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"94","EG","F","Ground","S1S",2018,"10/5/18",4,29,"R4 P29 10/5/18 (V4)","V","V","HB",1,3,"31/8/18",NA,0.41,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"95","EG","F","Ground","GR12",2017,"5/4/17",14,31,"GR-V-16","V","V","HB",1,4,"20/7/17",NA,0.75,106,1,NA,NA,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"96","EG","F","Ground","SFI",2017,"4/5/17",8,16,"SF-J-21","V","V","HB",1,4,"25/7/17",12.0595,0.899,82,1,NA,311.1392189,"","Visitor1","H P 10","H","P",10,1,2.30258509299405,"B"
"97","EG","F","Ground","GR12",2017,"5/4/17",14,22,"GR-V-8","V","V","HB",1,4,"25/7/17",13.4413,0.971,111,1,NA,154.6788197,"","Visitor1","H N 28","H","N",28,1,3.3322045101752,"B"
"98","EG","F","Ground","GR12",2017,"4/4/17",14,12,"GR-V-1-1","V","V","HB",1,4,"26/6/17",11.9835,0.809549981,83,1,NA,210.8776531,"","Visitor1","H N 30","H","N",30,1,3.40119738166216,"B"
"99","EG","F","Ground","GR12",2017,"5/4/17",14,35,"GR-M-5","V","V","HB",1,4,"16/6/17",12.3875,0.901311848,72,1,NA,213.0646886,"","Visitor1","H N 22","H","N",22,1,3.09104245335832,"B"
"100","EG","F","Ground","S1S",2017,"12/5/17",5,13,"S1S-J-81","V","V","HB",1,4,"20/7/17",NA,NA,69,1,NA,NA,"","Visitor1","H N 20","H","N",20,1,2.99573227355399,"B"
"101","EG","F","Ground","GR12",2017,"8/4/17",14,14,"GR-M-11","V","V","HB",0,4,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 18","H","N",18,1,2.89037175789616,"B"
"102","EG","F","Ground","GR12",2017,"5/4/17",14,23,"GR-V-12","V","V","HB",0,4,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 25","H","N",25,1,3.2188758248682,"B"
"103","EG","F","Ground","GR12",2017,"7/4/17",14,31,"GR-V-23","V","V","HB",1,4,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 15","H","N",15,1,2.70805020110221,"B"
"104","EG","F","Ground","GR12",2017,"7/4/17",14,31,"GR-V-24","V","V","HB",1,4,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 21","H","N",21,1,3.04452243772342,"B"
"105","EG","F","Ground","SFI",2017,"8/5/17",6,20,"SF-A-24","V","V","HB",1,4,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"106","EG","F","Ground","S1S",2017,"12/5/17",4,20,"S1S-J-83","V","V","HB",1,5,"10/8/17",13.6506,1.16,90,1,NA,282.4359718,"","Visitor1","H N 10","H","N",10,1,2.30258509299405,"B"
"107","EG","F","Ground","SFI",2017,"4/5/17",8,16,"SF-J-22","V","V","HB",1,5,"20/7/17",15.574,1.59,77,1,NA,226.4374167,"","Visitor1","H P 15","H","P",15,1,2.70805020110221,"B"
"108","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-A-21","V","V","HB",1,5,"4/8/17",16.6651,1.901,88,1,NA,204.0398802,"","Visitor1","H N 32","H","N",32,1,3.46573590279973,"B"
"109","EG","F","Ground","SFI",2017,"4/5/17",8,10,"SF-L-2","V","V","HB",1,5,"13/7/17",16.8627,2.129,70,1,NA,208.7794831,"","Visitor1","H N 15","H","N",15,1,2.70805020110221,"B"
"110","EG","F","Ground","GR12",2017,"4/4/17",14,17,"GR-L-2","V","V","HB",1,5,"16/6/17",13.1192,1.067505308,73,1,NA,244.5688938,"","Visitor1","H N 32","H","N",32,1,3.46573590279973,"B"
"111","EG","F","Ground","SFI",2017,"4/5/17",8,30,"SF-A-4","V","V","HB",1,5,"20/7/17",NA,NA,77,1,NA,NA,"","Visitor1","H N 56","H","N",56,1,4.02535169073515,"B"
"112","EG","F","Ground","GR12",2017,"4/4/17",14,12,"GR-V-2-3","V","V","HB",0,5,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 20","H","N",20,1,2.99573227355399,"B"
"113","EG","F","Ground","GR12",2017,"5/4/17",14,22,"GR-V-9","V","V","HB",0,5,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 6","H","N",6,1,1.79175946922805,"B"
"114","EG","F","Ground","GR12",2017,"5/4/17",14,31,"GR-V-15","V","V","HB",0,5,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 27","H","N",27,1,3.29583686600433,"B"
"115","EG","F","Ground","SFI",2017,"8/5/17",5,24,"SF-J-49","V","V","HB",0,5,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H P 40","H","P",40,1,3.68887945411394,"B"
"116","EG","F","Ground","SFI",2017,"8/5/17",6,31,"SF-J-48","V","V","HB",1,5,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H P 20","H","P",20,1,2.99573227355399,"B"
"117","EG","F","Ground","S1S",2017,"10/5/18",4,28,"R4 P28 10/5/18 (V3)","V","V","HB",1,5,"16/8/18",NA,0.69,NA,1,NA,NA,"","Visitor1","H N 37","H","N",37,1,3.61091791264422,"B"
"118","EG","F","Ground","S1S",2017,"9/5/18",2,21,"R2 P21 9/5/18 (V2)","V","V","HB",1,5,"",NA,NA,NA,1,NA,NA,"","Visitor1","H N 4","H","N",4,1,1.38629436111989,"B"
"119","EG","F","Ground","S1S",2018,"10/5/18",4,28,"R4 P28 10/5/18 (V3)","V","V","HB",1,5,"16/8/18",NA,0.69,NA,1,NA,NA,"","Visitor1","H N 37","H","N",37,1,3.61091791264422,"B"
"120","EG","F","Ground","S1S",2018,"9/5/18",2,21,"R2 P21 9/5/18 (V2)","V","V","HB",1,5,"",NA,NA,NA,1,NA,NA,"","Visitor1","H N 4","H","N",4,1,1.38629436111989,"B"
"121","EG","F","Ground","S1S",2017,"8/5/18",2,57,"R2 P57 8/5/18 (V2)","V","V","HB",1,7,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 3","H","N",3,1,1.09861228866811,"B"
"122","EG","F","Ground","S1S",2018,"8/5/18",2,57,"R2 P57 8/5/18 (V2)","V","V","HB",1,7,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 3","H","N",3,1,1.09861228866811,"B"
"123","EG","F","Ground","S1S",2018,"9/5/18",2,21,"R2 P219/5/18 (V1)","V","V","HB",1,15,"25/7/18",NA,1.86,NA,1,NA,NA,"","Visitor1","H N 39","H","N",39,1,3.66356164612965,"B"
"375","EG","F","Ground","S1S",2017,"16/5/18",4,24,"Juan-9","V","V","MX",1,2,"6/8/18",NA,1.56,NA,1,NA,NA,"","Visitor1","H N 3","H","N",3,1,1.09861228866811,"B"
"376","EG","F","Ground","S1S",2017,"15/5/18",6,34,"R6 P34 15/5/18 (V4)","V","V","MX",1,2,"6/8/18",NA,1.91,NA,1,NA,NA,"","Visitor1","S P 110","S","P",110,1,4.70048036579242,"B"
